trial_number,video_name,Joy,Inspiration,Tenderness,Sadness,Fear,Disgust,Arousal,Valence,Familiarity,Liking,type,subject,actualOrder,stimulus,labelAngie
24.0,23,5.32,0.0,0.0,4.41,0.0,0.0,2.66,3.57,0.0,3.57,video,5,13.0,joy5,Joy
1.0,23,4.62,5.109999999999999,1.47,4.62,0.0,0.0,5.25,4.62,3.99,5.390000000000001,video,5,14.0,joy8,Inspiration
2.0,23,5.53,4.48,5.46,4.899999999999999,0.0,0.0,5.600000000000001,5.390000000000001,6.3,6.02,video,5,15.0,ten4,Joy
35.0,23,0.0,0.0,0.63,0.0,0.0,0.0,0.63,5.04,0.0,3.5,video,5,16.0,ten5,Tenderness
23.0,23,3.99,3.5,5.109999999999999,0.91,0.0,0.0,4.34,4.83,0.0,4.48,video,5,17.0,ten8,Tenderness
34.0,23,0.0,2.38,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,video,5,18.0,ins4,Inspiration
3.0,23,5.32,7.0,5.600000000000001,0.0,0.0,0.0,5.32,7.0,7.0,7.0,video,5,19.0,ins5,Inspiration
36.0,23,2.03,4.83,1.12,0.0,0.0,0.0,3.08,7.0,4.55,5.53,video,5,20.0,ins8,Inspiration
35.0,2,1.12,0.91,0.7000000000000001,5.390000000000001,0.0,0.7000000000000001,1.33,2.1,0.0,3.5,imagen,6,0.0,sad4,Sadness
36.0,2,4.62,5.53,2.45,1.96,3.5,3.5,3.01,3.5,3.15,3.5,imagen,6,1.0,sad5,Inspiration
34.0,2,2.31,2.03,1.82,1.96,2.24,1.82,0.0,3.5,0.0,3.5,imagen,6,2.0,sad8,Joy
7.0,2,1.54,1.26,1.33,3.5,3.29,6.58,1.19,2.45,1.47,0.7000000000000001,imagen,6,3.0,dis4,Disgust
22.0,2,0.0,0.0,0.98,4.2,4.34,5.390000000000001,3.57,4.62,2.38,0.77,imagen,6,4.0,dis5,Disgust
8.0,2,1.19,1.33,1.4,3.99,1.61,0.84,4.62,2.1,1.4,1.75,imagen,6,5.0,dis8,Sadness
24.0,2,1.82,0.0,0.0,0.84,2.03,1.61,1.4,3.5,0.0,3.5,imagen,6,6.0,fear4,Fear
23.0,2,2.31,1.68,0.0,1.33,3.5,0.0,3.71,3.5,5.739999999999999,3.5,imagen,6,7.0,fear5,Fear
9.0,2,1.61,1.68,1.68,4.2,5.25,6.510000000000001,3.850000000000001,2.52,3.64,2.52,imagen,6,8.0,fear8,Disgust
37.0,2,3.64,3.5,3.5,3.5,4.34,3.5,4.97,3.5,4.2,3.5,imagen,6,9.0,neu4,Fear
38.0,2,4.62,4.55,4.83,0.28,0.56,0.14,3.71,4.41,2.03,3.5,imagen,6,10.0,neu5,Tenderness
39.0,2,4.97,5.25,0.14,0.0,0.0,0.0,5.88,5.25,5.04,5.81,imagen,6,11.0,neu8,Inspiration
27.0,2,4.83,5.18,5.04,1.96,2.17,1.47,0.0,3.5,1.82,3.5,imagen,6,12.0,joy4,Inspiration
17.0,2,5.600000000000001,5.109999999999999,5.18,1.75,0.7000000000000001,0.84,0.0,3.5,0.0,3.5,imagen,6,13.0,joy5,Joy
1.0,2,5.81,5.739999999999999,4.48,1.26,0.07,0.28,6.09,6.58,3.71,5.109999999999999,imagen,6,14.0,joy8,Joy
16.0,2,5.46,4.760000000000001,5.46,0.84,0.63,0.7000000000000001,2.1,5.390000000000001,5.04,3.5,imagen,6,15.0,ten4,Neutro
18.0,2,5.600000000000001,5.32,7.0,1.4,0.84,1.26,3.78,4.97,5.46,3.5,imagen,6,16.0,ten5,Tenderness
25.0,2,5.109999999999999,5.390000000000001,5.25,1.26,1.68,1.89,2.24,3.5,0.0,3.5,imagen,6,17.0,ten8,Inspiration
26.0,2,5.18,5.390000000000001,4.899999999999999,1.47,1.68,1.82,3.36,3.5,0.0,3.5,imagen,6,18.0,ins4,Inspiration
2.0,2,4.97,5.600000000000001,3.92,1.05,0.14,0.14,4.899999999999999,4.899999999999999,1.96,3.5,imagen,6,19.0,ins5,Inspiration
3.0,2,5.109999999999999,6.23,3.78,2.66,0.0,0.0,4.899999999999999,5.600000000000001,2.24,3.5,imagen,6,20.0,ins8,Inspiration
32.0,2,5.600000000000001,1.12,1.61,3.99,0.0,0.0,4.2,3.5,4.760000000000001,3.5,video,6,0.0,sad4,Joy
33.0,2,2.24,2.03,1.12,5.600000000000001,0.28,0.14,2.03,3.5,0.0,3.5,video,6,1.0,sad5,Sadness
31.0,2,2.1,2.1,1.4,6.02,0.42,0.7000000000000001,1.89,3.5,0.0,3.5,video,6,2.0,sad8,Sadness
10.0,2,2.31,2.24,1.4,3.850000000000001,2.17,5.95,3.5,1.96,3.36,2.38,video,6,3.0,dis4,Disgust
19.0,2,1.68,1.82,1.12,1.05,1.68,3.5,2.73,3.5,1.54,2.94,video,6,4.0,dis5,Disgust
11.0,2,0.35,0.7000000000000001,0.56,3.850000000000001,4.2,7.0,3.71,0.91,2.8,0.28,video,6,5.0,dis8,Disgust
21.0,2,0.0,0.0,0.0,4.899999999999999,5.95,5.32,5.46,1.54,1.54,1.54,video,6,6.0,fear4,Fear
20.0,2,1.82,1.47,1.26,1.96,5.600000000000001,4.41,2.38,2.38,1.89,1.96,video,6,7.0,fear5,Fear
12.0,2,1.26,0.84,1.12,3.99,5.95,2.45,0.0,0.0,0.0,0.0,video,6,8.0,fear8,Fear
40.0,2,6.649999999999999,6.16,0.07,0.0,0.0,0.0,6.02,5.18,5.739999999999999,5.95,video,6,9.0,neu4,Joy
41.0,2,0.7000000000000001,0.98,0.77,0.63,0.91,0.7000000000000001,5.81,3.5,4.48,3.5,video,6,10.0,neu5,Inspiration
42.0,2,4.83,4.06,0.7000000000000001,0.91,0.63,0.56,5.95,4.2,4.69,5.04,video,6,11.0,neu8,Joy
30.0,2,6.44,4.06,4.48,0.49,0.49,0.35,5.25,3.5,0.0,3.5,video,6,12.0,joy4,Joy
